institution_name,institution_type,ownership,location,priority_segment,estimated_students,estimated_supervisors,economic_buyer,operational_buyer,internal_champion,current_system_or_process,pain_point,deal_stage,last_contact_date,next_step,target_close_quarter,owner,notes
University of Lagos,University,Federal,Lagos,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Postgraduate workflow visibility,Targeting,,Identify postgraduate dean and ICT director,Q2,Founder,Lagos flagship federal institution
Lagos State University,University,State,Lagos,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Proposal approval delays,Targeting,,Request LASU introduction through academic network,Q2,Founder,Include LASU in priority Lagos cluster
Miva Open University,University,Private,Abuja,Digital first rollout,,,Vice Chancellor,Academic Director,Product and ICT lead,Digital operations with growth-stage workflows,Scalable supervision workflow design,Targeting,,Map decision chain and pilot scope,Q2,Founder,Include Miva in priority innovation cluster
Covenant University,University,Private,Ogun,Institution-wide transformation,,,Vice Chancellor,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Institution-wide reporting and control,Targeting,,Identify postgraduate and ICT contacts,Q2,Founder,Strong private university fit
Babcock University,University,Private,Ogun,Postgraduate school,,,Vice Chancellor,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Archive and approval bottlenecks,Targeting,,Secure postgraduate office intro,Q2,Founder,Private university with broad program mix
Pan-Atlantic University,University,Private,Lagos,Graduate school rollout,,,Vice Chancellor,Graduate School Lead,Director of ICT,Likely spreadsheet email and paper workflow,Program coordination visibility,Targeting,,Reach graduate school leadership,Q2,Founder,Lagos premium private target
Bowen University,University,Private,Osun,Postgraduate school,,,Vice Chancellor,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Manual supervision coordination,Targeting,,Identify owner and schedule discovery,Q3,Founder,South West private target
Redeemer's University,University,Private,Osun,Research school rollout,,,Vice Chancellor,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Research workflow digitization,Targeting,,Book introductory call,Q3,Founder,Good fit for pilot messaging
Afe Babalola University,University,Private,Ekiti,Institution-wide transformation,,,Vice Chancellor,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Approval turnaround and reporting,Targeting,,Approach leadership with pilot offer,Q3,Founder,High-visibility private institution
Lead City University,University,Private,Oyo,Faculty rollout,,,Vice Chancellor,Academic Planning Lead,Director of ICT,Likely spreadsheet email and paper workflow,Project supervision tracking,Targeting,,Find faculty-level champion,Q3,Founder,Ibadan private opportunity
Nile University of Nigeria,University,Private,Abuja,Institution-wide transformation,,,Vice Chancellor,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Cross-unit workflow visibility,Targeting,,Identify enterprise sponsor,Q2,Founder,Abuja flagship private target
American University of Nigeria,University,Private,Adamawa,Graduate school rollout,,,Vice Chancellor,Graduate School Lead,Director of ICT,Likely spreadsheet email and paper workflow,Structured reporting and audit trail,Targeting,,Reach admin and ICT leadership,Q3,Founder,Strong digital adoption profile
Veritas University,University,Private,Abuja,Postgraduate school,,,Vice Chancellor,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Proposal and archive management,Targeting,,Request discovery meeting,Q3,Founder,Abuja private target
Caleb University,University,Private,Lagos,Faculty rollout,,,Vice Chancellor,Dean Academic Affairs,Director of ICT,Likely spreadsheet email and paper workflow,Final-year project management,Targeting,,Start with faculty-level pitch,Q2,Founder,Lagos private target
Bells University of Technology,University,Private,Ogun,Project-heavy faculties,,,Vice Chancellor,Dean Academic Affairs,Director of ICT,Likely spreadsheet email and paper workflow,Engineering project workflow tracking,Targeting,,Approach engineering and ICT,Q3,Founder,Technology-focused institution
Ajayi Crowther University,University,Private,Oyo,Postgraduate school,,,Vice Chancellor,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Paper-based supervision flow,Targeting,,Identify academic operations owner,Q3,Founder,Moderate-size private opportunity
Elizade University,University,Private,Ondo,Project-heavy faculties,,,Vice Chancellor,Dean Academic Affairs,Director of ICT,Likely spreadsheet email and paper workflow,Project archive and approvals,Targeting,,Seek faculty champion,Q3,Founder,Good fit for project workflow sale
Landmark University,University,Private,Kwara,Institution-wide transformation,,,Vice Chancellor,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Institution-wide reporting and archive quality,Targeting,,Prepare executive outreach,Q3,Founder,Strong private target in North Central
Joseph Ayo Babalola University,University,Private,Osun,Postgraduate school,,,Vice Chancellor,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Manual review cycles,Targeting,,Open with postgraduate workflow pain,Q3,Founder,South West private target
Baze University,University,Private,Abuja,Graduate school rollout,,,Vice Chancellor,Graduate School Lead,Director of ICT,Likely spreadsheet email and paper workflow,Progress tracking across units,Targeting,,Identify graduate school sponsor,Q2,Founder,Abuja premium target
Bingham University,University,Private,Nasarawa,Postgraduate school,,,Vice Chancellor,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Coordination and audit trail gaps,Targeting,,Request intro through ICT network,Q3,Founder,Private North Central target
Al-Hikmah University,University,Private,Kwara,Postgraduate school,,,Vice Chancellor,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Postgraduate admin workload,Targeting,,Identify postgraduate and library contacts,Q3,Founder,Potential archive and workflow fit
University of Ibadan,University,Federal,Oyo,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Scale and oversight across programs,Targeting,,Pursue high-level intro before pilot pitch,Q3,Founder,Top-tier research university
Obafemi Awolowo University,University,Federal,Osun,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Proposal and supervision bottlenecks,Targeting,,Identify SPS decision makers,Q3,Founder,Strong research-intensive target
University of Nigeria Nsukka,University,Federal,Enugu,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Workflow visibility across departments,Targeting,,Open relationship with postgraduate office,Q3,Founder,Major South East target
Ahmadu Bello University,University,Federal,Kaduna,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Institution-wide coordination complexity,Targeting,,Map stakeholders before outreach,Q4,Founder,Large federal account
University of Benin,University,Federal,Edo,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Reporting and archive standardization,Targeting,,Request meeting with postgraduate and ICT,Q3,Founder,Strong South South target
Nnamdi Azikiwe University,University,Federal,Anambra,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Manual approval cycles,Targeting,,Identify admin champion,Q3,Founder,South East federal target
University of Port Harcourt,University,Federal,Rivers,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Progress monitoring across large cohorts,Targeting,,Build relationship with SPS office,Q3,Founder,Niger Delta flagship target
Federal University of Technology Akure,University,Federal,Ondo,Project-heavy faculties,,,DVC Academic,Dean School of Postgraduate Studies,Director of ICT,Likely spreadsheet email and paper workflow,Engineering and science project governance,Targeting,,Pitch project workflow and analytics,Q3,Founder,Technology-focused strong fit
Federal University of Technology Minna,University,Federal,Niger,Project-heavy faculties,,,DVC Academic,Dean School of Postgraduate Studies,Director of ICT,Likely spreadsheet email and paper workflow,Project tracking and supervisor oversight,Targeting,,Start with engineering faculties,Q3,Founder,Technology institution fit
Federal University of Technology Owerri,University,Federal,Imo,Project-heavy faculties,,,DVC Academic,Dean School of Postgraduate Studies,Director of ICT,Likely spreadsheet email and paper workflow,Project workflow and archive gaps,Targeting,,Seek faculty and ICT entry point,Q3,Founder,Technology institution fit
University of Ilorin,University,Federal,Kwara,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Approval delays and fragmented reporting,Targeting,,Target postgraduate office and ICT,Q3,Founder,Large federal with strong processes
Bayero University Kano,University,Federal,Kano,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Large-cohort workflow visibility,Targeting,,Map north-west sponsor,Q4,Founder,Major northern target
Usmanu Danfodiyo University,University,Federal,Sokoto,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Record traceability and reporting,Targeting,,Identify postgraduate office contact,Q4,Founder,North-west federal target
University of Jos,University,Federal,Plateau,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Supervision and archive coordination,Targeting,,Request intro through academic network,Q3,Founder,North central federal target
University of Uyo,University,Federal,Akwa Ibom,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Administrative follow-up burden,Targeting,,Target SPS leadership,Q3,Founder,South South federal opportunity
Federal University Oye Ekiti,University,Federal,Ekiti,Project-heavy faculties,,,DVC Academic,Dean School of Postgraduate Studies,Director of ICT,Likely spreadsheet email and paper workflow,Project workflow standardization,Targeting,,Pitch faculty-to-campus expansion path,Q3,Founder,Younger federal university fit
University of Calabar,University,Federal,Cross River,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Archive workflow and reporting,Targeting,,Open with archive and governance angle,Q3,Founder,South South target
Federal University Lokoja,University,Federal,Kogi,Postgraduate school,,,DVC Academic,Dean School of Postgraduate Studies,Director of ICT,Likely spreadsheet email and paper workflow,Process digitization and visibility,Targeting,,Identify decision makers,Q3,Founder,Emerging federal target
Olabisi Onabanjo University,University,State,Ogun,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Manual coordination and slow approvals,Targeting,,Start with postgraduate office,Q3,Founder,State university in South West cluster
Ekiti State University,University,State,Ekiti,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Reporting and process bottlenecks,Targeting,,Identify internal champion,Q3,Founder,State target with strong academic base
Delta State University,University,State,Delta,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Progress visibility and archive issues,Targeting,,Reach postgraduate office and library,Q3,Founder,South South state target
Rivers State University,University,State,Rivers,Project-heavy faculties,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Project supervision at scale,Targeting,,Start with engineering or science faculties,Q3,Founder,Strong project-heavy fit
Benue State University,University,State,Benue,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Postgraduate admin workflow strain,Targeting,,Identify admin and ICT sponsor,Q4,Founder,North central state target
Kaduna State University,University,State,Kaduna,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Institution-wide oversight gaps,Targeting,,Map buyer group and outreach,Q4,Founder,Large northern state target
Kwara State University,University,State,Kwara,Digital transformation,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Workflow modernization and reporting,Targeting,,Lead with digital transformation narrative,Q3,Founder,Good fit for innovation messaging
Edo State University Uzairue,University,State,Edo,Institution-wide transformation,,,Vice Chancellor,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Modern platform and governance reporting,Targeting,,Approach with executive deck,Q3,Founder,State-owned but innovation-friendly target
Gombe State University,University,State,Gombe,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Manual approvals and reporting delays,Targeting,,Identify postgraduate office contacts,Q4,Founder,North east state target
Nasarawa State University Keffi,University,State,Nasarawa,Postgraduate school,,,DVC Academic,Dean Postgraduate School,Director of ICT,Likely spreadsheet email and paper workflow,Research workflow coordination,Targeting,,Begin with discovery outreach,Q3,Founder,Strong fit near Abuja
